Household_Id,date,month,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,Usage_Type,Acorn,Acorn_grouped,file,Score,Anomaly,Average_Energy_That_Day,Anomaly Class
MAC001661,30/10/2013,Oct,0.538,0.768249998,1.623,48,0.384014649,36.88,0.363,Fixed,ACORN-C,Affluent,block_4,-0.047139678,-1,13.14,Over
MAC004249,06/10/2013,Oct,0.657,0.768229169,1.642,48,0.377681184,36.88,0.278,Fixed,ACORN-C,Affluent,block_5,-0.047139678,-1,11.39,Over
MAC001395,27/02/2013,Feb,0.635,0.768354175,2.4760001,48,0.587308823,36.88,0.161,Fixed,ACORN-C,Affluent,block_4,-0.047139678,-1,12.71,Over
MAC003856,31/01/2013,Jan,0.7135,0.768374996,1.964,48,0.502861113,36.88,0.215,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,13.03,Over
MAC003903,21/09/2013,Sep,0.4365,0.768374996,1.913,48,0.573358395,36.88,0.152,Dynamic,ACORN-B,Affluent,block_3,-0.047139678,-1,12.18,Over
MAC003607,27/11/2013,Nov,0.6045,0.768041662,2.22,48,0.41377113,36.87,0.334,Fixed,ACORN-B,Affluent,block_3,-0.047139678,-1,13.8,Over
MAC003775,11/04/2013,Apr,0.726,0.768062502,2.086,48,0.51990885,36.87,0.144,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,13.29,Over
MAC003668,08/12/2013,Dec,0.6015,0.767937504,2.046,48,0.548074367,36.86,0.181,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,10.93,Over
MAC003856,15/12/2013,Dec,0.685,0.767875002,2.352,48,0.480419305,36.86,0.234,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,15.04,Over
MAC003428,12/12/2013,Dec,0.7645,0.767979171,2.0910001,48,0.535863897,36.86,0.178,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,13.61,Over
MAC004054,01/06/2013,Jun,0.715,0.768020831,4.118,48,0.672414745,36.86,0.151,Dynamic,ACORN-A,Affluent,block_2,-0.047139678,-1,14.79,Over
MAC003903,13/03/2013,Mar,0.719,0.767875002,1.8430001,48,0.305535924,36.86,0.388,Dynamic,ACORN-B,Affluent,block_3,-0.047139678,-1,13.48,Over
MAC001836,13/04/2013,Apr,0.6495,0.7679375,2.0250001,48,0.525124568,36.86,0.101,Fixed,ACORN-A,Affluent,block_2,-0.047139678,-1,13.05,Over
MAC001510,19/12/2013,Dec,0.648,0.767791663,2.7579999,48,0.635168825,36.85,0.062,Fixed,ACORN-A,Affluent,block_1,-0.047139678,-1,14,Over
MAC001989,24/12/2013,Dec,0.664,0.767625,1.652,48,0.42400204,36.85,0.207,Fixed,ACORN-A,Affluent,block_1,-0.047139678,-1,14.67,Over
MAC001734,24/12/2013,Dec,0.3215,0.767687494,2.7049999,48,0.806949121,36.85,0.175,Fixed,ACORN-A,Affluent,block_1,-0.047139678,-1,14.67,Over
MAC003566,12/03/2013,Mar,0.737,0.767520833,1.927,48,0.416553232,36.84,0.246,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,14.06,Over
MAC003668,06/04/2013,Apr,0.641,0.767416669,1.983,48,0.573357891,36.84,0.18,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,10.98,Over
MAC000096,25/11/2013,Nov,0.5625,0.767541665,2.3789999,48,0.58572551,36.84,0.177,Fixed,ACORN-C,Affluent,block_6,-0.047139678,-1,13.28,Over
MAC003449,25/12/2013,Dec,0.547,0.767562494,1.757,48,0.575897403,36.84,0.183,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,13.41,Over
MAC001989,22/02/2013,Feb,0.5025,0.767500004,2.201,48,0.606883537,36.84,0.141,Fixed,ACORN-A,Affluent,block_1,-0.047139678,-1,13.29,Over
MAC003856,30/11/2013,Nov,0.8905,0.767479171,1.436,48,0.429501248,36.84,0.23,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,14.32,Over
MAC001989,02/12/2013,Dec,0.425,0.76741666,1.962,48,0.63270401,36.84,0.069,Fixed,ACORN-A,Affluent,block_1,-0.047139678,-1,13.25,Over
MAC001510,19/11/2013,Nov,0.5305,0.767562498,2.865,48,0.71430796,36.84,0.066,Fixed,ACORN-A,Affluent,block_1,-0.047139678,-1,13.67,Over
